Date,Open,High,Low,Close,Adj Close,Volume
2021-11-06,2.611241,2.722747,2.607596,2.673720,2.673720,26964476
2021-11-07,2.673858,2.739732,2.670359,2.731817,2.731817,14040873
2021-11-08,2.732035,2.851472,2.732035,2.842187,2.842187,138713046
2021-11-09,2.842129,2.970492,2.831751,2.907538,2.907538,163574661
2021-11-10,2.907710,3.036887,2.796905,2.838525,2.838525,185469279
2021-11-11,2.838583,2.975697,2.819009,2.963997,2.963997,158291441
2021-11-12,2.960812,3.090293,2.831676,2.890511,2.890511,194867166
2021-11-13,2.893242,2.901789,2.830176,2.853526,2.853526,115777638
2021-11-14,2.853725,2.882507,2.740309,2.801648,2.801648,110273157
2021-11-15,2.802076,2.832078,2.673515,2.684420,2.684420,102439439
2021-11-16,2.688416,3.644750,2.448095,2.529586,2.529586,191613443
2021-11-17,2.529049,2.581693,2.444778,2.572409,2.572409,171675740
2021-11-18,2.572133,2.625770,2.397429,2.419708,2.419708,207860340
2021-11-19,2.419478,2.548502,2.393288,2.543861,2.543861,172799443
2021-11-20,2.543697,2.615251,2.518651,2.611165,2.611165,161762679
2021-11-21,2.612789,2.618702,2.559350,2.562558,2.562558,148237419
2021-11-22,2.561581,2.585624,2.457486,2.486024,2.486024,161564606
2021-11-23,2.485907,2.567507,2.470517,2.563072,2.563072,132232029
2021-11-24,2.562884,2.564387,2.452429,2.507413,2.507413,130255288
2021-11-25,2.460250,2.488789,2.339240,2.420451,2.420451,140370966
2021-11-26,2.450094,2.458297,2.218749,2.299947,2.299947,122856757
2021-11-27,2.299711,2.368907,2.299711,2.341514,2.341514,55233021
2021-11-28,2.341190,2.383028,2.245825,2.377167,2.377167,49380208
2021-11-29,2.376881,2.430568,2.359004,2.360253,2.360253,63900672
2021-11-30,2.360253,2.425390,2.295289,2.355237,2.355237,135059730
2021-12-01,2.354891,2.421952,2.330669,2.346595,2.346595,87437283
2021-12-02,2.346574,2.358980,2.264931,2.264931,2.264931,77522771
2021-12-03,2.266846,2.311290,2.048385,2.079619,2.079619,89646998
2021-12-04,2.079426,2.082301,1.737857,1.900357,1.900357,98755512
2021-12-05,1.900383,1.954528,1.860334,1.898869,1.898869,50872176
2021-12-06,1.899092,1.930101,1.809583,1.917687,1.917687,42966557
2021-12-07,1.918508,1.986131,1.914417,1.985647,1.985647,63364034
2021-12-08,1.985580,2.069310,1.955830,2.067496,2.067496,108778839
2021-12-09,2.065330,2.081388,1.888400,1.909384,1.909384,104479286
2021-12-10,1.909998,1.942531,1.791726,1.794803,1.794803,131712783
2021-12-11,1.794556,1.863190,1.775109,1.860807,1.860807,105858402
2021-12-12,1.860548,1.894394,1.829571,1.883430,1.883430,82186989
2021-12-13,1.884255,1.891015,1.713578,1.754006,1.754006,118076707
2021-12-14,1.754284,1.804521,1.730113,1.803392,1.803392,105038666
2021-12-15,1.803198,1.867572,1.706999,1.833471,1.833471,130150329
2021-12-16,1.833440,1.894701,1.829519,1.847276,1.847276,106461752
2021-12-17,1.847376,1.917876,1.803632,1.907746,1.907746,135052773
2021-12-18,1.908702,1.958502,1.855546,1.940655,1.940655,138742784
2021-12-19,1.940451,1.978095,1.913862,1.927972,1.927972,131458186
2021-12-20,1.927408,1.959724,1.787346,1.859678,1.859678,183238340
2021-12-21,1.859749,1.909388,1.834120,1.889868,1.889868,134267904
2021-12-22,1.890057,1.908966,1.839272,1.857632,1.857632,127793801
2021-12-23,1.857229,1.933460,1.822874,1.904747,1.904747,141722463
2021-12-24,1.904848,1.919064,1.867227,1.875414,1.875414,112855891
2021-12-25,1.875305,1.914311,1.863520,1.893057,1.893057,85730830
2021-12-26,1.893113,1.895964,1.839249,1.878888,1.878888,87564731
2021-12-27,1.879168,1.934621,1.852856,1.868677,1.868677,105815741
2021-12-28,1.869110,1.869110,1.781461,1.801339,1.801339,137016649
2021-12-29,1.801289,1.819184,1.772770,1.778964,1.778964,140423434
2021-12-30,1.778881,1.898545,1.762910,1.888351,1.888351,130137132
2021-12-31,1.888412,1.976255,1.880024,1.942238,1.942238,175137545
2022-01-01,1.942771,2.085810,1.941733,2.085810,2.085810,112089526
2022-01-02,2.085671,2.141029,2.022779,2.137991,2.137991,185659718
2022-01-03,2.138016,2.179627,2.088703,2.125175,2.125175,138149959
2022-01-04,2.125179,2.165993,2.082788,2.094953,2.094953,126716450
2022-01-05,2.094965,2.098746,1.809930,1.868355,1.868355,229686341
2022-01-06,1.867313,1.954635,1.831003,1.941889,1.941889,121774509
2022-01-07,1.941890,1.941890,1.803541,1.896712,1.896712,147931596
2022-01-08,1.896749,1.957084,1.826056,1.878764,1.878764,84176122
2022-01-09,1.878763,1.912848,1.853459,1.863753,1.863753,69682556
2022-01-10,1.863752,1.923736,1.831034,1.880631,1.880631,129130932
2022-01-11,1.880591,1.948027,1.867130,1.930957,1.930957,97478729
2022-01-12,1.931935,2.095590,1.922901,2.095164,2.095164,109570398
2022-01-13,2.095180,2.100850,2.029331,2.043371,2.043371,74440923
2022-01-14,2.043415,2.066014,1.981948,2.033454,2.033454,96679375
2022-01-15,2.033377,2.034392,2.003078,2.008284,2.008284,54838490
2022-01-16,2.008287,2.019178,1.993099,2.003176,2.003176,49253051
2022-01-17,2.003177,2.003177,1.881371,1.906177,1.906177,65240224
2022-01-18,1.906250,1.947250,1.839274,1.935796,1.935796,138167379
2022-01-19,1.935835,1.989480,1.899333,1.964439,1.964439,101172042
2022-01-20,1.964423,2.022681,1.922777,1.923256,1.923256,68803244
2022-01-21,1.923433,1.939493,1.753701,1.772447,1.772447,123296483
2022-01-22,1.771867,1.802534,1.510358,1.556745,1.556745,129693849
2022-01-23,1.556750,1.656460,1.556548,1.624315,1.624315,75461874
2022-01-24,1.624335,1.625506,1.415422,1.533635,1.533635,103382938
2022-01-25,1.533623,1.546548,1.457763,1.530894,1.530894,60397190
2022-01-26,1.530554,1.604746,1.463778,1.496006,1.496006,87323540
2022-01-27,1.495672,1.519942,1.442456,1.506283,1.506283,80437927
2022-01-28,1.506079,1.509788,1.449353,1.498828,1.498828,58830831
2022-01-29,1.498814,1.503302,1.466598,1.485466,1.485466,40445434
2022-01-30,1.485818,1.490768,1.459256,1.477026,1.477026,37766563
2022-01-31,1.476928,1.489127,1.432990,1.477084,1.477084,47962323
2022-02-01,1.476968,1.506654,1.472388,1.495400,1.495400,47318629
2022-02-02,1.495352,1.499212,1.448320,1.458239,1.458239,49006156
2022-02-03,1.458296,1.469858,1.446830,1.468515,1.468515,38821424
2022-02-04,1.468726,1.554460,1.466436,1.552624,1.552624,69134329
